instance,best_known,DSATUR_primal,DSATUR_time_to_best_known,DSATUR_time_to_improve,DSATUR_time_opt
tiny10,999999,2,-,-
sqrm_5K_1,999999,126,-,-
sqrm_5K_2,999999,127,-,-
sqrm_5K_3,999999,128,-,-
sqrm_5K_4,999999,101,-,-
sqrm_5K_5,999999,104,-,-
sqrm_5K_6,999999,104,-,-
sqrm_10K_1,999999,169,-,-
sqrm_10K_2,999999,173,-,-
sqrm_10K_3,999999,169,-,-
sqrm_10K_4,999999,145,-,-
sqrm_10K_5,999999,146,-,-
sqrm_10K_6,999999,143,-,-
sqrm_50K_1,999999,369,-,-
sqrm_50K_2,999999,363,-,-
sqrm_50K_3,999999,368,-,-
sqrm_50K_4,999999,328,-,-
sqrm_50K_5,999999,322,-,-
sqrm_50K_6,999999,318,-,-
sqrm_100K_1,999999,596,-,-
sqrm_100K_2,999999,579,-,-
sqrm_100K_3,999999,585,-,-
sqrm_100K_4,999999,501,-,-
sqrm_100K_5,999999,508,-,-
sqrm_100K_6,999999,498,-,-
sqrm_500K_1,999999,1483,-,-
sqrm_500K_2,999999,1510,-,-
sqrm_500K_3,999999,1502,-,-
sqrm_500K_4,999999,1242,-,-
sqrm_500K_5,999999,1264,-,-
sqrm_500K_6,999999,1261,-,-
sqrm_1M_1,999999,2175,-,-
sqrm_1M_2,999999,2154,-,-
sqrm_1M_3,999999,2159,-,-
sqrm_1M_4,999999,1770,-,-
sqrm_1M_5,999999,1825,-,-
sqrm_1M_6,999999,1816,-,-
visp_5K,999999,72,-,-
visp_10K,999999,49,-,-
visp_50K,999999,136,-,-
visp_100K,999999,241,-,-
visp_500K,999999,447,-,-
visp_1M,999999,1035,-,-
